n, training_error, validation_error
260 , 0.0249689642144 , 0.0634169983003
261 , 0.0249689642144 , 0.063678778405
262 , 0.0239056512117 , 0.0642002907909
263 , 0.0270632050521 , 0.0660245602299
264 , 0.0229233011281 , 0.0641931234087
265 , 0.0250175419658 , 0.0628831989734
266 , 0.0208452528742 , 0.0647074684123
267 , 0.0239380363793 , 0.0636644436405
268 , 0.0218761807092 , 0.0607971494297
269 , 0.0229233011281 , 0.060274613132
270 , 0.021892373293 , 0.062094786924
271 , 0.0239866141307 , 0.0618350546428
272 , 0.021892373293 , 0.0587008607685
273 , 0.0260484698008 , 0.0605292258545
274 , 0.0197981324553 , 0.0607961255179
275 , 0.0229233011281 , 0.0628801272381
276 , 0.0239704215469 , 0.0631439551663
277 , 0.025001349382 , 0.0654917848147
278 , 0.0239866141307 , 0.0636613719052
279 , 0.0291736384736 , 0.0633995918005
280 , 0.0249851567982 , 0.0597531007461
281 , 0.0281103254709 , 0.0607971494297
282 , 0.0218599881254 , 0.0584523915165
283 , 0.0239542289631 , 0.0574032232742
284 , 0.0208452528742 , 0.0589687843437
285 , 0.0197819398715 , 0.0555738342765
286 , 0.0197981324553 , 0.0558315187342
287 , 0.0177200842014 , 0.0547803026683
288 , 0.0166729637826 , 0.0553079585247
289 , 0.0197981324553 , 0.0524314491082
290 , 0.0197981324553 , 0.0519171041045
291 , 0.0197819398715 , 0.0545246660341
292 , 0.0208290602904 , 0.0534816412623
293 , 0.0218761807092 , 0.0550523218906
294 , 0.0218599881254 , 0.0537505887493
295 , 0.0197981324553 , 0.0537495648375
296 , 0.0208452528742 , 0.0537454691905
297 , 0.0229394937119 , 0.0545277377694
298 , 0.0218761807092 , 0.0547895178741
299 , 0.021892373293 , 0.0581824201178
300 , 0.0197981324553 , 0.0563561028553
301 , 0.0229233011281 , 0.0558325426459
302 , 0.0208290602904 , 0.0573981037154
303 , 0.0239542289631 , 0.0566209546953
304 , 0.0177038916176 , 0.0532260046281
305 , 0.0187186268689 , 0.0542669815764
306 , 0.0187348194527 , 0.0560984183976
307 , 0.0187348194527 , 0.0558386861164
308 , 0.0187510120365 , 0.0537495648375
309 , 0.0218761807092 , 0.0514048069244
310 , 0.0197819398715 , 0.0516655631173
311 , 0.0229071085443 , 0.0501000020478
312 , 0.0208128677066 , 0.0540154405892
313 , 0.0197657472877 , 0.050359734329
314 , 0.0177038916176 , 0.0516594196468
315 , 0.0197819398715 , 0.0487870058773
