n, training_error, validation_error
1 , 0.28292761915 , 0.334034144044
2 , 0.28292761915 , 0.334034144044
3 , 0.259021967939 , 0.31651330744
4 , 0.263113294111 , 0.320190515847
5 , 0.267253198035 , 0.305074847949
6 , 0.24009283748 , 0.309489272818
7 , 0.233891077886 , 0.287578585227
8 , 0.23074971663 , 0.29435619842
9 , 0.210789658336 , 0.282373700485
10 , 0.21707238085 , 0.299838221943
11 , 0.207826415502 , 0.294880782542
12 , 0.204587898742 , 0.298813627583
13 , 0.183758838452 , 0.288893629221
14 , 0.18997679063 , 0.281323508331
15 , 0.174350947266 , 0.273763626559
16 , 0.181713175366 , 0.268020846843
17 , 0.166988719167 , 0.262543942879
18 , 0.182792680952 , 0.265678136754
19 , 0.16384735791 , 0.262547014615
20 , 0.15559993523 , 0.267494214899
21 , 0.161850272575 , 0.263587991563
22 , 0.144146380958 , 0.267761114562
23 , 0.136686997355 , 0.259158208018
24 , 0.129421924758 , 0.264109503949
25 , 0.118983105738 , 0.257848283583
26 , 0.124137744913 , 0.260457893336
27 , 0.110622334971 , 0.253417476126
28 , 0.1168888649 , 0.266192481757
29 , 0.11276515356 , 0.260725816911
30 , 0.111734225725 , 0.257584455654
31 , 0.114794624062 , 0.256029133702
32 , 0.107529551465 , 0.255502501758
33 , 0.112700383224 , 0.259675624757
34 , 0.106450045879 , 0.256541430883
35 , 0.0980406973606 , 0.260197137143
36 , 0.0980245047768 , 0.257318579903
37 , 0.0886489987586 , 0.259414868564
38 , 0.0907432395963 , 0.256803210987
39 , 0.0980730825282 , 0.258106991952
40 , 0.0844281319156 , 0.252632135812
41 , 0.0824310465807 , 0.251327330935
42 , 0.0698656015545 , 0.252114719073
43 , 0.0730393479786 , 0.253150576462
44 , 0.0719436498084 , 0.250812985931
45 , 0.0740216980623 , 0.24846310846
46 , 0.0729907702272 , 0.248202352267
47 , 0.0688184811356 , 0.250035836911
48 , 0.0615048307875 , 0.245605029455
49 , 0.0604739029524 , 0.241424739073
