n, training_error, validation_error
1 , 0.245296054407 , 0.317604456064
2 , 0.256814379014 , 0.342376294395
3 , 0.16397689858 , 0.29201860789
4 , 0.171306741512 , 0.309489272818
5 , 0.118081718573 , 0.297743981105
6 , 0.119096453824 , 0.283386007905
7 , 0.0992335510336 , 0.284952592886
8 , 0.0898580450154 , 0.277900912647
9 , 0.0742322016516 , 0.265382567561
10 , 0.0606196362066 , 0.272162228578
11 , 0.0564149619474 , 0.272939377598
12 , 0.0460409132617 , 0.267197621794
13 , 0.0324121552329 , 0.266419448862
14 , 0.0345063960706 , 0.262765790426
15 , 0.0208938306256 , 0.26329242237
16 , 0.0198790953743 , 0.255463593111
17 , 0.0125654450262 , 0.253381639214
18 , 0.0115021320235 , 0.256774541458
19 , 0.00942408376963 , 0.251820173792
20 , 0.0125492524424 , 0.247116323201
21 , 0.00837696335079 , 0.246598906462
22 , 0.00732984293194 , 0.243204980307
23 , 0.00628272251309 , 0.245033345393
24 , 0.00418848167539 , 0.242425783463
25 , 0.00314136125654 , 0.243991344533
26 , 0.0020942408377 , 0.239562584899
27 , 0.0020942408377 , 0.242695754862
28 , 0.00314136125654 , 0.236426343202
29 , 0.00104712041885 , 0.235905854727
30 , 0.0 , 0.235905854727
31 , 0.00104712041885 , 0.236168658744
32 , 0.0 , 0.239820269357
33 , 0.00104712041885 , 0.239559513164
34 , 0.0 , 0.237992928183
35 , 0.0 , 0.239555417517
36 , 0.0 , 0.238518536216
37 , 0.0 , 0.23381775736
38 , 0.0 , 0.233298292798
39 , 0.00104712041885 , 0.228592394384
40 , 0.0 , 0.229899247084
41 , 0.0 , 0.228333686014
42 , 0.0 , 0.228852126665
43 , 0.0 , 0.230679467839
44 , 0.0 , 0.231203028048
45 , 0.0 , 0.228332662102
46 , 0.0 , 0.23224605282
47 , 0.0 , 0.228591370472
48 , 0.0 , 0.231984272715
49 , 0.0 , 0.232245028908
