n, training_error, validation_error
1 , 0.11158849247 , 0.326241151696
2 , 0.0970907324445 , 0.344522754732
3 , 0.0156420359475 , 0.272493634682
4 , 0.0166891563664 , 0.290763974689
5 , 0.00310897608895 , 0.277708758541
6 , 0.00104712041885 , 0.267542338751
7 , 0.0 , 0.270671413066
8 , 0.0 , 0.263883560756
9 , 0.0 , 0.267543362663
10 , 0.0 , 0.261267807532
11 , 0.0 , 0.269356369072
12 , 0.0 , 0.263080813942
13 , 0.0 , 0.267526980075
14 , 0.0 , 0.259441490269
15 , 0.0 , 0.259961978744
16 , 0.0 , 0.263358976634
17 , 0.0 , 0.266224223022
18 , 0.0 , 0.260748342969
19 , 0.0 , 0.258139757128
20 , 0.0 , 0.261271903179
21 , 0.0 , 0.261791367741
22 , 0.0 , 0.263877417285
23 , 0.0 , 0.259964026567
24 , 0.0 , 0.264919418145
25 , 0.0 , 0.269353297337
26 , 0.0 , 0.264912250763
27 , 0.0 , 0.268823593657
28 , 0.0 , 0.268041325078
29 , 0.0 , 0.274820986095
30 , 0.0 , 0.2737759135
31 , 0.0 , 0.273253377202
32 , 0.0 , 0.273777961323
33 , 0.0 , 0.273773865676
34 , 0.0 , 0.274558182079
35 , 0.0 , 0.276385523253
36 , 0.0 , 0.278469524973
37 , 0.0 , 0.276122719237
38 , 0.0 , 0.280553526693
39 , 0.0 , 0.279510501922
40 , 0.0 , 0.280293794412
41 , 0.0 , 0.281602694936
42 , 0.0 , 0.280297890059
43 , 0.0 , 0.280560694076
44 , 0.0 , 0.279777401585
45 , 0.0 , 0.278733352901
46 , 0.0 , 0.278992061271
47 , 0.0 , 0.279514597569
48 , 0.0 , 0.279513573657
49 , 0.0 , 0.278993085183
