n, training_error, validation_error
1 , 0.174189021428 , 0.337491552728
2 , 0.184741188536 , 0.318369318143
3 , 0.0677389755492 , 0.265960395093
4 , 0.0719922275598 , 0.271672457456
5 , 0.0312354941437 , 0.26177293733
6 , 0.033362120149 , 0.260456869424
7 , 0.0124844821072 , 0.269318484338
8 , 0.0114535542721 , 0.257319603814
9 , 0.0020780482539 , 0.254198720793
10 , 0.00518702434285 , 0.246354532857
11 , 0.0 , 0.251054287801
12 , 0.0 , 0.248967214346
13 , 0.0 , 0.249746411189
14 , 0.0 , 0.245572264278
15 , 0.0 , 0.250259732281
16 , 0.0 , 0.246095824488
17 , 0.0 , 0.244792043523
18 , 0.0 , 0.247142944907
19 , 0.0 , 0.249742315542
20 , 0.0 , 0.251834508556
21 , 0.0 , 0.248177778385
22 , 0.0 , 0.250524584121
23 , 0.0 , 0.252096288661
24 , 0.0 , 0.255484071346
25 , 0.0 , 0.248966190434
26 , 0.0 , 0.244003631474
27 , 0.0 , 0.245574312102
28 , 0.0 , 0.250789435961
29 , 0.0 , 0.250266899663
30 , 0.0 , 0.253135217786
31 , 0.0 , 0.25340211745
32 , 0.0 , 0.254706922326
33 , 0.0 , 0.254707946238
34 , 0.0 , 0.255748923186
35 , 0.0 , 0.255491238728
36 , 0.0 , 0.257835996642
37 , 0.0 , 0.25575097101
38 , 0.0 , 0.258880045325
39 , 0.0 , 0.255488166993
40 , 0.0 , 0.257835996642
41 , 0.0 , 0.257575240449
42 , 0.0 , 0.260709434323
43 , 0.0 , 0.261487607255
44 , 0.0 , 0.260447654218
45 , 0.0 , 0.260442534659
46 , 0.0 , 0.256532215677
47 , 0.0 , 0.261230946709
48 , 0.0 , 0.262277043216
49 , 0.0 , 0.262271923657
