n, training_error, validation_error
1 , 0.262999946025 , 0.310839129812
2 , 0.262999946025 , 0.310839129812
3 , 0.228606898041 , 0.309518966259
4 , 0.23803098181 , 0.299873034943
5 , 0.201414152318 , 0.297506774883
6 , 0.197241863227 , 0.295422773163
7 , 0.16068980407 , 0.284209232954
8 , 0.171161008258 , 0.2857727462
9 , 0.145063960706 , 0.29646886967
10 , 0.150396718303 , 0.279491047598
11 , 0.131548550764 , 0.28522563602
12 , 0.123220165164 , 0.273758507
13 , 0.106417660711 , 0.281306101831
14 , 0.104355805041 , 0.263571608975
15 , 0.0960112268581 , 0.266704778937
16 , 0.0929184433529 , 0.26800753599
17 , 0.080336805743 , 0.264356949289
18 , 0.0792896853241 , 0.258614169573
19 , 0.0688994440546 , 0.25757626436
20 , 0.0688832514708 , 0.251840652027
21 , 0.0678037458844 , 0.250798651167
22 , 0.0542721433583 , 0.247932380868
23 , 0.0480218060128 , 0.245314579821
24 , 0.0490689264317 , 0.247925213486
25 , 0.0385491444918 , 0.248700314682
26 , 0.0365358665731 , 0.251308900524
27 , 0.029222216225 , 0.24739243807
28 , 0.029222216225 , 0.249745387278
29 , 0.0260970475522 , 0.246868877861
30 , 0.0260970475522 , 0.243486214735
31 , 0.0177848545366 , 0.243476999529
32 , 0.0240189992983 , 0.240609705318
33 , 0.0198629027905 , 0.241916558018
34 , 0.0240189992983 , 0.239832556298
35 , 0.0135963728612 , 0.239314115647
36 , 0.0146273006963 , 0.241657849649
37 , 0.0146273006963 , 0.236966285999
38 , 0.016721541534 , 0.237483702738
39 , 0.0156744211151 , 0.235915069933
40 , 0.0125168672748 , 0.230964797914
41 , 0.0104550116047 , 0.229135408916
42 , 0.0104388190209 , 0.229657945214
43 , 0.0104550116047 , 0.227311139477
44 , 0.0114859394397 , 0.22991460576
45 , 0.00940789118584 , 0.225998143307
46 , 0.00628272251309 , 0.226521703516
47 , 0.00314136125654 , 0.221301460098
48 , 0.00523560209424 , 0.224949998976
49 , 0.00314136125654 , 0.226519655693
