n, training_error, validation_error
1 , 0.211869163923 , 0.302465238196
2 , 0.230717331462 , 0.321500440282
3 , 0.116969827819 , 0.283410581787
4 , 0.123203972581 , 0.270109968122
5 , 0.0709289145571 , 0.25889438009
6 , 0.0668699735521 , 0.260473252012
7 , 0.0428509742538 , 0.253684375789
8 , 0.0376963350785 , 0.24636784371
9 , 0.0198790953743 , 0.254712041885
10 , 0.0167539267016 , 0.253157743845
11 , 0.00628272251309 , 0.249494870202
12 , 0.00628272251309 , 0.246628599903
13 , 0.0 , 0.246618360786
14 , 0.0020942408377 , 0.249234114009
15 , 0.0020942408377 , 0.245062014922
16 , 0.00104712041885 , 0.244805354376
17 , 0.0 , 0.235920189492
18 , 0.0 , 0.23983358021
19 , 0.0 , 0.236701434159
20 , 0.0 , 0.237227042192
21 , 0.0 , 0.236962190352
22 , 0.0 , 0.233840283419
23 , 0.0 , 0.237747530666
24 , 0.0 , 0.232267554967
25 , 0.0 , 0.238524679686
26 , 0.0 , 0.238266995229
27 , 0.0 , 0.233836187772
28 , 0.0 , 0.234095920053
29 , 0.0 , 0.234096943965
30 , 0.0 , 0.231749114316
31 , 0.0 , 0.233053919193
32 , 0.0 , 0.231487334212
33 , 0.0 , 0.233574407667
34 , 0.0 , 0.233315699298
35 , 0.0 , 0.236446821437
36 , 0.0 , 0.235665576769
37 , 0.0 , 0.235926332962
38 , 0.0 , 0.238275186523
39 , 0.0 , 0.237232161751
40 , 0.0 , 0.237492917944
41 , 0.0 , 0.239579991399
42 , 0.0 , 0.240623016171
43 , 0.0 , 0.237752650225
44 , 0.0 , 0.239061550748
45 , 0.0 , 0.239322306941
46 , 0.0 , 0.240102527697
47 , 0.0 , 0.239581015311
48 , 0.0 , 0.242714185273
49 , 0.0 , 0.24167013659
