n, training_error, validation_error
1 , 0.0688184811356 , 0.327266769968
2 , 0.071976034976 , 0.303237267657
3 , 0.0103740486857 , 0.281856283746
4 , 0.00728126518055 , 0.273247233732
5 , 0.0 , 0.272483395564
6 , 0.0 , 0.267003419865
7 , 0.0 , 0.265950155976
8 , 0.0 , 0.269342034308
9 , 0.0 , 0.272996716656
10 , 0.0 , 0.274825081742
11 , 0.0 , 0.277177007038
12 , 0.0 , 0.276121695325
13 , 0.0 , 0.271693959603
14 , 0.0 , 0.273770793941
15 , 0.0 , 0.265945036417
16 , 0.0 , 0.267774425415
17 , 0.0 , 0.270117135504
18 , 0.0 , 0.262808794719
19 , 0.0 , 0.263589015475
20 , 0.0 , 0.264886652969
21 , 0.0 , 0.266716041967
22 , 0.0 , 0.269842044547
23 , 0.0 , 0.263050096589
24 , 0.0 , 0.268005488167
25 , 0.0 , 0.269310293044
26 , 0.0 , 0.27296395148
27 , 0.0 , 0.272182706813
28 , 0.0 , 0.275052048847
29 , 0.0 , 0.275837389162
30 , 0.0 , 0.281054560844
31 , 0.0 , 0.2831416343
32 , 0.0 , 0.278709802931
33 , 0.0 , 0.280016655631
34 , 0.0 , 0.280281507471
35 , 0.0 , 0.281327603978
36 , 0.0 , 0.277151409244
37 , 0.0 , 0.277153457067
38 , 0.0 , 0.276368116753
39 , 0.0 , 0.277673945542
40 , 0.0 , 0.275851723926
41 , 0.0 , 0.275852747838
42 , 0.0 , 0.276114527943
43 , 0.0 , 0.277416261084
44 , 0.0 , 0.276115551854
45 , 0.0 , 0.276116575766
46 , 0.0 , 0.275856843485
47 , 0.0 , 0.275856843485
48 , 0.0 , 0.275596087292
49 , 0.0 , 0.276899868257
